id,budget,revenue
19995.0,237000000.0,2787965087.0
285.0,300000000.0,961000000.0
206647.0,245000000.0,880674609.0
49026.0,250000000.0,1084939099.0
49529.0,260000000.0,284139100.0
559.0,258000000.0,890871626.0
38757.0,260000000.0,591794936.0
99861.0,280000000.0,1405403694.0
767.0,250000000.0,933959197.0
209112.0,250000000.0,873260194.0
1452.0,270000000.0,391081192.0
10764.0,200000000.0,586090727.0
58.0,200000000.0,1065659812.0
57201.0,255000000.0,89289910.0
49521.0,225000000.0,662845518.0
2454.0,225000000.0,419651413.0
24428.0,220000000.0,1519557910.0
1865.0,380000000.0,1045713802.0
41154.0,225000000.0,624026776.0
122917.0,250000000.0,956019788.0
1930.0,215000000.0,752215857.0
20662.0,200000000.0,310669540.0
57158.0,250000000.0,958400000.0
2268.0,180000000.0,372234864.0
254.0,207000000.0,550000000.0
597.0,200000000.0,1845034188.0
271110.0,250000000.0,1153304495.0
44833.0,209000000.0,303025485.0
135397.0,150000000.0,1513528810.0
37724.0,200000000.0,1108561013.0
558.0,200000000.0,783766341.0
68721.0,200000000.0,1215439994.0
12155.0,200000000.0,1025491110.0
36668.0,210000000.0,459359555.0
62211.0,200000000.0,743559607.0
8373.0,150000000.0,836297228.0
91314.0,210000000.0,1091405097.0
68728.0,200000000.0,491868548.0
102382.0,200000000.0,705717432.0
20526.0,170000000.0,400062763.0
49013.0,200000000.0,559852396.0
44912.0,200000000.0,219851172.0
10193.0,200000000.0,1066969703.0
534.0,200000000.0,371353001.0
168259.0,190000000.0,1506249360.0
72190.0,200000000.0,531865000.0
127585.0,250000000.0,747862775.0
54138.0,190000000.0,467365246.0
81005.0,195000000.0,197687603.0
64682.0,105000000.0,351040419.0
9543.0,150000000.0,335154643.0
68726.0,180000000.0,407602906.0
38356.0,195000000.0,1123746996.0
217.0,185000000.0,786636033.0
105864.0,175000000.0,331926147.0
62177.0,185000000.0,538983207.0
188927.0,185000000.0,343471816.0
10681.0,180000000.0,521311860.0
5174.0,140000000.0,258022233.0
14161.0,200000000.0,769653595.0
17979.0,200000000.0,325233863.0
76757.0,176000003.0,183987723.0
258489.0,180000000.0,356743061.0
411.0,180000000.0,748806957.0
246655.0,178000000.0,543934787.0
155.0,185000000.0,1004558444.0
14160.0,175000000.0,735099082.0
15512.0,175000000.0,381509870.0
1726.0,140000000.0,585174222.0
44826.0,170000000.0,185770160.0
8487.0,170000000.0,222104681.0
1735.0,145000000.0,401128639.0
297761.0,175000000.0,745000000.0
2698.0,175000000.0,173000000.0
137113.0,178000000.0,370541256.0
9804.0,175000000.0,264218220.0
14869.0,175000000.0,302469017.0
150540.0,175000000.0,857611174.0
278927.0,175000000.0,966550600.0
10138.0,200000000.0,623933331.0
58595.0,170000000.0,396600000.0
102651.0,180000000.0,758539785.0
119450.0,170000000.0,710644566.0
64686.0,175000000.0,150962475.0
100402.0,170000000.0,714766572.0
10192.0,165000000.0,752600867.0
158852.0,190000000.0,209154322.0
177572.0,165000000.0,652105443.0
82690.0,165000000.0,471222889.0
5255.0,165000000.0,305875730.0
47933.0,165000000.0,389681935.0
10191.0,165000000.0,494878759.0
296.0,200000000.0,435000000.0
118340.0,170000000.0,773328629.0
157336.0,165000000.0,675120017.0
27205.0,160000000.0,825532764.0
315011.0,15000000.0,77000000.0
49051.0,250000000.0,1021103568.0
9799.0,38000000.0,207283925.0
4922.0,150000000.0,333932083.0
49538.0,160000000.0,353624124.0
131634.0,160000000.0,653428261.0
27022.0,150000000.0,215283742.0
503.0,160000000.0,181674817.0
241259.0,170000000.0,299370084.0
810.0,160000000.0,798958165.0
68735.0,160000000.0,433677183.0
87101.0,155000000.0,440603537.0
10140.0,155000000.0,415686217.0
676.0,140000000.0,449220945.0
1858.0,150000000.0,709709780.0
1966.0,155000000.0,167298192.0
675.0,150000000.0,938212738.0
674.0,150000000.0,895921036.0
8960.0,150000000.0,624029371.0
6479.0,150000000.0,585349010.0
118.0,150000000.0,474968763.0
2062.0,150000000.0,623722818.0
272.0,150000000.0,374218673.0
10527.0,150000000.0,603900354.0
18360.0,150000000.0,413106170.0
2080.0,150000000.0,373062864.0
605.0,150000000.0,424988211.0
109445.0,150000000.0,1274219009.0
604.0,150000000.0,738599701.0
76338.0,170000000.0,644571402.0
76341.0,150000000.0,378858340.0
13448.0,150000000.0,356613439.0
10195.0,150000000.0,449326618.0
13053.0,150000000.0,309979994.0
19585.0,150000000.0,292817841.0
57165.0,150000000.0,301000000.0
62213.0,150000000.0,245527149.0
177677.0,150000000.0,682330139.0
5559.0,150000000.0,287594577.0
49444.0,150000000.0,665692281.0
10196.0,150000000.0,318502923.0
956.0,150000000.0,397850012.0
117251.0,150000000.0,205366737.0
50321.0,150000000.0,38992758.0
11619.0,149000000.0,64459316.0
266647.0,150000000.0,128388320.0
82703.0,145000000.0,272912430.0
652.0,175000000.0,497409852.0
80321.0,145000000.0,746921274.0
36669.0,140000000.0,431971116.0
43074.0,144000000.0,229147509.0
95.0,140000000.0,553799566.0
608.0,140000000.0,441818803.0
2310.0,70000000.0,195735876.0
140300.0,145000000.0,521170825.0
56292.0,145000000.0,694713380.0
81188.0,145000000.0,306941670.0
7552.0,100000000.0,202026112.0
616.0,140000000.0,456758981.0
147441.0,140000000.0,268031828.0
13475.0,150000000.0,385680446.0
557.0,139000000.0,821708551.0
82702.0,145000000.0,609123048.0
205584.0,140000000.0,150680864.0
10048.0,135000000.0,76932943.0
13183.0,130000000.0,185258983.0
944.0,140000000.0,285444603.0
1927.0,137000000.0,245360480.0
72559.0,130000000.0,371876278.0
7364.0,130000000.0,119269486.0
2114.0,137000000.0,85131830.0
1771.0,140000000.0,370569774.0
36643.0,135000000.0,361832400.0
8619.0,150000000.0,212011111.0
50620.0,120000000.0,829000000.0
65759.0,130000000.0,150406466.0
1724.0,150000000.0,163712074.0
267935.0,140000000.0,183345589.0
281957.0,135000000.0,532950503.0
77950.0,135000000.0,282570682.0
44896.0,135000000.0,245724603.0
270946.0,132000000.0,373552094.0
2503.0,70000000.0,442824138.0
9502.0,130000000.0,631744560.0
102899.0,130000000.0,519311965.0
101299.0,130000000.0,847423452.0
228161.0,135000000.0,368871007.0
74.0,132000000.0,591739379.0
8961.0,130000000.0,273339556.0
417859.0,130000000.0,554987477.0
27576.0,110000000.0,293329073.0
86834.0,125000000.0,362637473.0
17578.0,130000000.0,371940071.0
673.0,130000000.0,789804554.0
6972.0,130000000.0,49554002.0
82700.0,130000000.0,243843127.0
10567.0,127500000.0,354248063.0
181533.0,127000000.0,349424282.0
38055.0,130000000.0,321887208.0
671.0,125000000.0,976475550.0
49524.0,130000000.0,61648500.0
22.0,140000000.0,655011224.0
131631.0,125000000.0,752100229.0
591.0,125000000.0,767820459.0
172385.0,103000000.0,500188435.0
36658.0,110000000.0,407711549.0
51497.0,125000000.0,626137675.0
58574.0,125000000.0,334615000.0
18823.0,125000000.0,232713139.0
861.0,65000000.0,261317921.0
1911.0,160000000.0,61698899.0
49040.0,130000000.0,276572938.0
415.0,125000000.0,238207122.0
